ISSN,EISSN,中科院分区
0952-7648,,2
1016-3476,2523-9465,4
2149-1658,,4
0022-2631,1432-1424,4
2523-8906,2523-8914,3
2772-4212,,2
0376-7388,1873-3123,1
0749-596X,1096-0821,2
1875-6867,1875-6859,4
0971-8990,2543-1897,4
1091-4358,1099-176X,4
1931-5864,1931-5872,4
1755-6228,2042-8707,4
0963-8237,1360-0567,3
0857-6149,,4
0263-4929,1525-1314,2
2095-6037,2198-0934,4
2166-0468,2166-0476,4
2194-6418,2194-6426,4
1932-5150,2708-8340,3
0167-7012,1872-8359,4
1935-7877,1935-7885,4
1017-7825,1738-8872,4
1338-5178,,4
1684-1182,1995-9133,3
1225-8873,1976-3794,3
1057-7157,1941-0158,3
0265-2048,1464-5246,4
0960-1317,1361-6439,4
2758-6383,,4
0262-821X,2041-4978,1
0022-2720,1365-2818,4
0832-7823,,4
0976-7800,0976-7819,4
1552-5864,1558-9579,4
1526-9523,1542-2011,4
2666-6235,,3
2351-9916,2351-9924,4
1488-559X,,4
1835-1271,1839-2733,4
0899-3718,1543-7795,4
2368-7924,,4
2392-7674,,4
1345-6296,1349-3825,4
0972-9941,1998-3921,4
1553-4650,1553-4669,2
2251-8592,2251-8606,4
1450-5339,2217-7175,4
2411-3336,2541-9404,3
1062-7391,1573-8736,4
1558-6898,1558-6901,1
1746-5664,1746-5672,4
0022-278X,1469-7777,3
1753-5654,1753-5662,4
1749-6772,1749-6780,4
1930-5311,1930-532X,2
1611-8944,2631-9764,3
0738-1727,1086-3265,4
0022-2801,1537-5358,1
1354-571X,1469-9583,3
1472-5886,1472-5894,3
0022-281X,1529-1464,3
0950-0340,1362-3044,4
1947-6574,2152-9272,4
2196-5625,2196-5420,2
1947-9956,2210-2388,4
0022-2828,1095-8584,2
2251-2373,2251-2381,4
0022-2836,1089-8638,2
1674-2788,1759-4685,2
1525-1578,1943-7811,3
0952-5041,1479-6813,3
0022-2844,1432-1432,4
1093-3263,1873-4243,4
1567-2379,1567-2387,3
0167-7322,1873-3166,2
0946-2716,1432-1440,3
1610-2940,0948-5023,4
0895-8696,1559-1166,4
0952-3499,1099-1352,4
0022-2852,1096-083X,4
0022-2860,1872-8014,2
0260-1230,1464-3766,3
0304-3932,1873-1295,1
0022-2879,1538-4616,4
1758-7808,1368-5201,4
0305-7240,1465-3877,4
1740-4681,1745-5243,2
1933-6632,2161-6310,4
0362-2525,1097-4687,4
1309-047X,,4
0022-2895,1940-1027,4
2325-3193,2325-3215,4
1672-6316,1993-0321,4
2005-940X,2093-4939,4
1057-9214,1099-1360,4
0883-8534,2161-1912,4
1744-7143,1747-6615,3
1178-2390,,3
0143-4632,1747-7557,1
1042-444X,1873-1309,4
1542-3980,1542-3999,4
1756-9737,1756-9745,4
0047-259X,,2
0142-4319,1573-2657,3
1108-7161,,4
1059-8650,2051-6169,4
1057-0837,1945-0079,4
1752-7066,1752-7074,3
0022-2909,1941-7497,1
0022-2917,2053-7395,4
0141-1896,1547-7304,3
0277-9269,,2
1556-4908,1556-5009,4
1360-2004,1469-9591,3
1662-5250,1661-9897,4
1477-3155,,1
1555-130X,1555-1318,4
2169-432X,2169-4338,4
1388-0764,1572-896X,4
1934-2608,,4
2008-9244,2193-8865,2
2251-7871,2251-788X,4
1687-9503,1687-9511,4
1544-0478,1544-046X,3
0022-2933,1464-5262,4
1340-3443,1861-0293,4
0163-3864,1520-6025,2
1813-8535,2070-8998,4
0373-4633,1469-7785,4
0022-2968,1545-6978,2
0967-0335,1751-6552,4
0022-300X,2640-396X,4
1121-8428,1724-6059,3
0022-3018,1539-736X,4
1084-8045,1095-8592,2
1064-7570,1573-7705,3
1741-2560,1741-2552,3
0300-9564,1435-1463,3
0167-594X,1573-7373,2
1070-8022,1536-5166,4
2348-0548,2348-926X,4
0022-3042,1471-4159,3
1866-1947,1866-1955,2
0953-8194,1365-2826,3
1743-0003,,1
2093-0879,2093-0887,2
0167-7063,1563-5260,4
1051-2284,1552-6569,3
1557-1890,1557-1904,3
0165-5728,1872-8421,4
1742-2094,,1
1759-8478,1759-8486,2
0911-6044,1873-8052,4
1557-0576,1557-0584,4
2193-6315,2193-6323,4
2193-6331,2193-634X,4
2193-6358,2193-6366,4
0022-3050,1468-330X,1
0340-5354,1432-1459,2
2214-3599,2214-3602,4
0022-3069,1554-6578,4
0022-3077,1522-1598,4
0895-0172,1545-7222,4
1748-6645,1748-6653,4
0150-9861,1773-0406,3
2324-2426,,3
0165-0270,1872-678X,4
0888-0395,1945-2810,4
1937-321X,2151-318X,4
0360-4012,1097-4547,4
0270-6474,1529-2401,2
0976-3147,0976-3155,4
1933-0707,1933-0715,3
1547-5654,1547-5646,2
0022-3085,1933-0693,2
0898-4921,1537-1921,3
0390-5616,1827-1855,4
0897-7151,1557-9042,2
1355-0284,1538-2443,4
1023-8166,1477-2655,3
2254-7339,,1
1480-2422,2292-1168,4
0929-8215,1744-5027,3
2170-161X,,4
1176-306X,2324-3740,4
0968-8005,1538-4594,1
1345-4676,1347-3409,4
0022-3093,1873-4812,3
0340-0204,1437-4358,2
0377-0257,1873-2631,3
1661-6952,1661-6960,3
2572-3901,2572-3898,4
0195-9298,1573-4862,3
1345-4773,1880-5221,4
2560-6921,2560-6778,2
2052-532X,,4
1402-9251,1776-0852,3
0218-8635,1793-6624,2
0938-8974,1432-1467,2
1048-5252,1029-0311,4
1049-5142,1540-6997,4
2374-7838,2157-0604,4
0191-5886,1573-3653,4
1362-9387,1743-9345,3
0259-0131,,3
1071-3581,1532-6551,3
2332-8983,2332-8975,4
1738-1894,2288-5471,4
0022-3115,1873-4820,2
0091-4916,1535-5675,4
0161-5505,1535-5667,1
0022-3131,1881-1248,3
0022-314X,1096-1658,3
1570-2820,1569-3953,3
0002-0443,1539-0721,4
2345-5756,2345-5764,4
1057-3631,1550-5065,4
0148-4834,1938-2421,4
0966-0429,1365-2834,2
1061-3749,1945-7049,4
2155-8256,2155-8264,4
1682-3141,1948-965X,3
1527-6546,1547-5069,3
2822-2954,,4
0127-9319,0127-9386,4
2090-0724,2090-0732,4
1499-4046,1878-2620,4
1279-7707,1760-4788,2
0022-3166,1541-6100,3
0955-2863,1873-4847,2
0301-4800,1881-7742,4
2048-6790,,4
2508-6235,2508-7576,4
2090-0708,2090-0716,3
1660-1769,,4
2211-3649,2211-3657,4
2249-4472,2249-9539,4
1701-2163,,4
1341-8076,1447-0756,4
0144-3615,1364-6893,4
0971-9202,0975-6434,4
1545-9624,1545-9632,4
1076-2752,1536-5948,4
0963-1798,2044-8325,2
1076-8998,1939-1307,1
1341-9145,1348-9585,4
1745-6673,,3
1053-0487,1573-3688,3
1442-7591,2158-1576,3
1941-1243,1941-1251,4
2198-6444,2198-6452,4
2096-675X,2468-0133,1
1672-5182,1993-5021,2
0916-8370,1573-868X,4
2096-5508,2523-3521,2
1080-7683,1557-7732,4
1050-9674,1540-8558,4
0282-423X,2001-7367,4
0892-7219,1528-896X,4
2811-4701,,4
1345-8957,1347-3352,4
1078-1552,1477-092X,4
2049-1565,,2
2325-6184,,4
1755-876X,1755-8778,4
1744-6740,1755-2710,4
0272-6963,1873-1317,2
0379-4024,1841-7744,3
2008-2010,2008-322X,4
1869-5760,,4
2090-004X,2090-0058,4
1943-0620,1943-0639,2
2708-5260,,4
1070-9762,1091-0786,4
0972-8821,0974-6900,4
2040-8978,2040-8986,4
0022-3239,1573-2878,3
2066-0049,,4
1454-4164,1841-7132,4
1888-4296,1989-1342,4
2333-0384,2333-0376,4
2212-5558,2212-5566,4
0278-2391,1531-5053,3
1349-0079,1880-3865,4
2322-1372,,4
0160-6972,1548-1336,4
2000-2297,,2
0904-2512,1600-0714,3
0305-182X,1365-2842,2
1343-4934,1880-4926,4
0022-3263,1520-6904,2
2056-9122,2056-9130,4
2245-408X,,4
1546-2234,1546-5012,3
0160-8061,1540-8604,3
0894-3796,1099-1379,1
0953-4814,1758-7816,4
1091-9392,1532-7744,4
2051-6614,2051-6622,3
2046-6749,2046-6757,4
0022-328X,1872-8561,4
2193-7192,2193-7206,3
1434-5293,1615-6714,4
1465-3125,1465-3133,4
0190-6011,1938-1344,2
0736-0266,1554-527X,3
0949-2658,1436-2023,4
1749-799X,,3
1022-5536,2309-4990,4
2214-031X,,1
0890-5339,1531-2291,3
1590-9921,1590-9999,2
2210-4917,2210-4925,4
0972-978X,,4
1082-6467,1937-2426,4
2036-413X,2036-4121,4
2702-3648,,4
2090-8059,2042-0064,4
1916-0216,,3
1672-2930,,3
2206-3110,2522-879X,4
2213-0780,2213-0799,3
2381-0696,1948-5123,4
1757-2215,,2
1842-2403,1584-9953,4
1179-4704,1179-4712,4
0022-3344,1469-9605,3
1834-4909,,3
1034-4810,1440-1754,4
1536-0288,1536-0539,4
0885-3924,1873-6513,2
1178-7090,,3
1526-5900,1528-8447,2
2095-3836,2524-4507,2
0921-2728,1573-0417,4
2520-8217,,1
0022-3360,1937-2337,4
0377-919X,1533-8614,3
0825-8597,2369-5293,4
1096-6218,1557-7740,3
2096-5664,2577-3577,4
0743-7315,1096-0848,3
2090-0023,2090-0031,4
0022-3395,1937-2345,4
0148-6071,1941-2444,3
0735-1968,2160-6862,4
1877-7171,1877-718X,3
2079-732X,1000-940X,4
1542-3050,2167-776X,4
1064-9867,2161-4504,4
2383-7837,2383-7845,4
2056-4538,,2
0022-3417,1096-9896,2
2374-3743,2374-3735,4
2516-0435,2516-0443,4
1549-8417,1549-8425,4
2330-068X,2330-0698,4
2509-8020,,3
1740-0201,1740-021X,4
0022-3433,1460-3578,1
0306-6150,1743-9361,1
1083-3188,1873-4332,4
2281-0692,,4
2717-9206,,4
0334-018X,2191-0251,4
2146-457X,2146-4588,4
0277-2116,1536-4801,3
2146-4596,2146-460X,4
0891-5245,1532-656X,4
1077-4114,1536-3678,4
2752-7530,2752-7549,4
1307-1068,1308-5271,4
1305-7707,1305-7693,4
2146-4618,2146-4626,4
1304-2580,1875-9041,4
2199-2681,2199-2673,4
0882-5963,,3
0191-3913,1938-2405,4
1060-152X,1473-5865,4
0271-6798,1539-2570,4
0146-8693,1465-735X,3
1874-5393,1875-8894,4
2147-9445,,4
2213-5766,,4
0022-3468,1531-5037,2
1477-5131,1873-4898,3
2322-4398,2322-4401,4
0022-3476,1097-6833,2
2200-2359,,4
2148-6646,2602-3911,4
1474-7472,1475-3022,4
0966-7369,1745-5251,3
1075-2617,1099-1387,4
0887-3828,1943-5509,4
1089-9472,1532-8473,4
0893-2190,1550-5073,4
1058-1243,1548-8519,4
0300-5577,1619-3997,4
0743-8346,1476-5543,3
2093-2278,2093-2286,4
0022-3484,1600-0765,3
0022-3492,1943-3670,2
1750-4589,2515-7949,4
1874-7094,1874-7167,3
0885-3134,1557-7813,3
0022-3514,1939-1315,1
0022-3891,1532-7752,3
0885-579X,1943-2763,3
0022-3506,1467-6494,2
1866-5888,2190-5150,4
1612-4758,1612-4766,1
1348-589X,1349-0923,4
2190-0558,2190-0566,4
0141-6421,1747-5457,4
0920-4105,,2
0022-3530,1460-2415,2
2095-1779,2214-0883,1
0731-7085,1873-264X,3
2055-0294,,4
1759-8885,1759-8893,4
1872-5120,1939-8042,4
2093-5552,2093-6214,3
2052-3211,,3
0022-3549,1520-6017,3
1567-567X,1573-8744,4
1056-8719,1873-488X,4
1347-8613,1347-8648,4
0976-500X,0976-5018,4
0022-3565,1521-0103,3
2093-6966,2234-6856,4
0719-4250,,4
0976-4879,0975-7406,4
1482-1826,,4
0022-3573,2042-7158,4
1445-937X,2055-2335,4
0897-1900,1531-1937,4
8755-1225,1549-4810,4
1547-7037,1863-7345,4
2691-1361,,4
1843-2298,1844-8208,4
0022-3611,1573-0433,2
1053-8364,2153-7984,4
0309-8249,1467-9752,4
0022-362X,1939-8549,1
0095-4470,1095-8576,1
1010-6030,1873-2666,2
1011-1344,1873-2682,2
1389-5567,1873-2739,1
1947-7988,,4
0914-9244,1349-6336,4
0022-3646,1529-8817,3
1543-3080,1543-5474,4
0047-2689,1529-7845,1
1089-5639,1520-5215,2
1520-6106,1520-5207,2
1932-7447,1932-7455,3
1948-7185,,2
0730-3084,2168-3816,4
0022-3670,1520-0485,3
0894-3230,1099-1395,4
1675-3402,2180-4230,4
1027-4642,2310-0052,4
1751-8113,1751-8121,3
0022-3697,1879-2553,3
0953-4075,1361-6455,3
2399-6528,,4
0022-3727,1361-6463,3
0954-3899,1361-6471,3
2632-072X,,2
0953-8984,1361-648X,4
2515-7655,,4
2515-7639,,3
2515-7647,,3
1880-6805,,3
1880-6546,1880-6562,4
1138-7548,1877-8755,3
0867-5910,,4
0022-3751,1469-7793,2
1836-9553,1836-9561,1
0931-1785,1439-0434,4
0920-9034,1569-9870,3
0742-3098,1600-079X,1
2309-7981,,4
2667-1433,,2
1949-1190,1949-1204,4
1753-8335,1753-8343,4
0142-7873,1464-3774,3
0739-456X,1552-6577,3
1538-5132,1552-6585,4
0885-4122,1552-6593,2
0971-7811,0974-1275,4
1226-9239,1867-0725,4
1861-3829,1861-3837,3
1752-9921,1752-993X,1
0721-7595,1435-8107,3
1742-9145,1742-9153,4
1436-8730,1522-2624,3
0190-4167,1532-4087,4
1125-4653,2239-7264,4
0176-1617,1618-1328,2
1427-4345,1899-007X,4
1936-5209,1940-3496,4
0918-9440,1618-0860,3
0022-3778,1469-7807,3
8756-0879,1530-8014,4
1748-6815,1878-0539,3
2000-656X,2000-6764,4
0889-3675,1567-2344,3
0882-0783,1936-6469,4
0276-8739,1520-6688,3
1741-1122,1741-1130,3
0898-0306,1528-4190,4
0161-8938,1873-8060,2
1940-7963,1940-7971,4
1612-5681,1613-4877,2
1073-0451,,3
0022-3808,1537-534X,1
1356-9317,1469-9613,4
1537-7857,1537-7865,3
0963-8016,1467-9760,1
2158-379X,2158-3803,3
1551-2169,1551-2177,4
1866-802X,1868-4890,2
0022-3816,1468-2508,1
2321-8525,2321-2810,4
0334-6447,2191-0340,4
0973-8622,,4
1022-9760,1572-8935,4
2642-4150,2642-4169,3
1566-2543,1572-8919,3
1302-0900,2147-9429,4
0022-3840,1540-5931,4
0195-6051,1930-6458,2
1524-2226,1533-1598,3
2046-9861,2046-987X,2
1874-7884,1874-7876,4
0933-1433,1432-1475,2
1443-2447,1835-9469,4
1380-2224,1573-4854,4
1091-028X,1934-0508,4
1088-4246,1099-1409,4
0095-4918,2168-8656,4
1645-4537,2397-5563,4
1098-3007,1538-4772,4
1743-9760,1743-9779,2
0160-3477,1557-7821,4
1744-9855,1744-9863,3
0022-3859,0972-2823,4
2472-4513,2471-4461,4
2379-7762,2328-3343,4
1346-7395,1349-0486,3
1759-8273,1759-8281,4
1087-5549,1540-7608,4
1598-2092,2093-4718,4
2666-2485,,3
0378-7753,1873-2755,3
2083-4187,2083-4195,4
2051-655X,,3
0378-2166,1879-1387,1
1060-149X,,4
2090-2727,2090-2735,3
0094-9930,1528-8978,4
1085-2352,1540-7330,4
2731-5533,2731-5541,4
1975-8375,2233-4521,4
2150-1319,2150-1327,4
1172-6164,1172-6156,4
2223-8905,2414-6250,4
2387-2306,,4
0890-913X,,4
1744-1048,1757-8418,4
1687-952X,1687-9538,4
0959-1524,1873-2771,3
1061-0421,2054-1643,2
0737-6782,1540-5885,1
0895-562X,1573-0441,3
2056-9548,2056-9556,3
8755-7223,1532-8481,2
2051-8803,2051-8811,4
1042-8232,1540-7616,3
2371-8366,2371-8374,4
1463-578X,1470-2002,4
2514-9407,2514-9415,4
0959-9916,1466-4453,4
0748-4658,1533-3876,4
0022-3913,1097-6841,3
1040-8800,1534-6331,4
1883-1958,2212-4632,3
1059-941X,1532-849X,3
1535-3893,1535-3907,2
1874-3919,1876-7737,3
1662-9981,1662-999X,4
2559-9283,,4
1351-0126,1365-2850,3
2149-374X,,4
1527-4160,1538-1145,4
0022-3956,1879-1379,2
1180-4882,1488-2434,2
0279-1072,2159-9777,4
0734-2829,1557-5144,4
0090-6905,1573-6555,2
2247-1537,,4
2055-6365,2055-6373,4
0091-6471,2328-1162,4
1433-0237,1815-5626,4
0022-3980,1940-1019,3
0882-2689,1573-3505,4
2769-7541,2769-755X,1
1592-1107,2499-6904,4
0269-8811,1461-7285,3
0269-8803,2151-2124,4
0279-3695,1938-2413,4
0734-7332,1540-7586,4
1478-6737,,4
0167-482X,1743-8942,4
0022-3999,1879-1360,3
1053-0479,1573-3696,3
1053-1858,1477-9803,1
1523-6803,2328-9643,2
1472-3891,1479-1854,4
2381-3717,,4
1096-3367,1945-1814,3
1554-8732,1554-8740,4
1097-3923,1467-9779,4
0047-2727,,1
2515-6918,2515-6926,4
0022-4006,1752-7325,3
2038-9922,2038-9930,4
1078-4659,1550-5022,4
0197-5897,1745-655X,4
2279-9028,2279-9036,4
2198-1833,1613-2238,4
1741-3842,1741-3850,4
1746-5729,2042-8731,4
0743-9156,1547-7207,3
0143-814X,1469-7815,3
1535-0118,2150-6930,4
1062-726X,1532-754X,1
1077-291X,2375-0901,3
1478-4092,1873-6505,2
0022-4049,1873-1376,3
0973-7510,2581-690X,4
2148-2624,,4
1528-008X,1528-0098,4
1355-2511,1758-7832,4
0022-4065,2575-6230,2
2194-6388,1559-0410,4
0748-4518,1573-7799,2
0971-1554,2364-1045,4
0929-6174,1744-5035,4
0022-4073,1879-1352,3
0267-8179,1099-1417,3
1465-3591,1755-1730,3
2197-3792,2196-8837,3
2508-1888,2466-2461,4
1687-8507,,4
0449-3060,1349-9157,4
1937-6529,1937-6537,2
0236-5731,1588-2780,3
0952-4746,1361-6498,4
1943-0922,,4
2156-4639,2156-4647,4
1460-3969,1467-1131,4
2210-9706,2210-9714,3
0972-6306,,4
0377-0486,1097-4555,3
0892-1016,2162-4569,4
1002-0721,,1
0894-9085,1573-6563,4
0895-5638,1573-045X,4
0896-5803,2691-1175,4
1861-8200,1861-8219,4
1079-9893,1532-4281,4
0743-684X,1098-8947,2
1872-5163,1569-7312,4
1081-597X,1938-2391,2
0951-6328,1471-6925,3
2502-6429,,4
0022-4146,1467-9787,2
0922-680X,1573-0468,4
2055-6683,,4
1650-1977,1651-2081,4
0731-6844,1530-7964,4
0974-8024,2229-5666,4
0022-4197,1573-6571,2
1703-289X,,4
1542-6432,1542-6440,4
0022-4200,1570-0666,3
1874-8910,1874-8929,3
2211-8330,2211-8349,1
2588-8099,2165-9214,3
1552-8030,1552-8049,4
0022-4189,1549-6538,3
1442-018X,2199-4625,2
0384-9694,1467-9795,3
0022-4227,1467-9809,3
2694-1589,,1
1755-6678,1755-6686,4
2345-2781,,4
1051-2276,1532-8503,2
1941-7012,,4
2322-1232,2322-5106,4
0916-8818,1348-4400,3
0264-6838,1469-672X,4
0165-0378,1872-7603,3
1539-1590,,4
2345-3303,2588-3887,2
0256-8543,2150-2641,4
0022-4278,1552-731X,1
2073-753X,,4
2228-7795,2228-7809,4
2040-7122,2040-7130,2
1475-2409,1741-2943,4
1471-5201,1471-521X,4
1735-1995,1735-7136,4
0022-4294,1945-0095,3
1744-9871,1744-988X,4
0092-6566,1095-7251,2
2319-9644,2279-042X,4
2630-6344,,4
0141-0423,1467-9817,3
0022-4308,1098-2736,1
1471-3802,,4
1044-677X,2165-7254,4
1050-8392,1532-7795,2
1934-5747,1934-5739,4
1942-7751,,4
1539-1523,1945-0818,3
2329-9460,2329-9037,1
0969-6989,1873-1384,1
0022-4359,1873-3271,2
1476-6930,1477-657X,4
0148-6055,1520-8516,3
2093-940X,2233-4718,4
0315-162X,1499-2752,3
0022-4367,1539-6975,2
0895-5646,1573-0476,3
1526-5943,2331-2947,3
1753-9579,1753-9587,4
1366-9877,1466-4461,4
1465-1211,1755-2842,4
2097-0498,2773-0077,4
2652-4260,2652-4252,4
1863-2483,1863-2491,3
0915-3942,1883-8049,4
2352-6386,,4
1687-9600,1687-9619,4
1674-7755,2589-0417,1
1047-7594,2331-5709,2
0075-4358,1753-528X,1
1473-3536,1752-2331,4
1511-1768,2524-3993,4
1712-8277,,4
0890-765X,1748-0361,3
0743-0167,1873-1392,1
1071-2836,1573-8760,4
0022-4375,1879-1247,2
2096-7527,2666-4496,2
1099-6362,1530-7972,3
1319-6103,2212-4640,2
2042-7891,2042-7905,3
1094-6136,1099-1425,4
1198-9742,1710-1166,4
0022-4391,1746-1561,4
1059-8405,1546-8364,4
0022-4405,1873-3506,1
1538-8220,1538-8239,3
1844-9581,2068-3049,4
1440-2440,1878-1861,2
1646-9798,2183-0088,3
2053-4620,1758-5538,4
1059-0145,1573-1839,2
2096-6709,2662-1371,4
1046-560X,1573-1847,3
2468-2284,2468-2179,2
0022-4456,0975-1084,4
0885-7474,1573-7691,2
2321-6654,2320-0057,4
2397-1983,2397-1991,4
1748-538X,1755-1749,4
1479-6651,1755-2001,3
1759-7137,1759-7145,2
1385-1101,1873-1414,3
2542-3835,2542-3843,4
1060-3743,1873-1422,1
2662-5571,2447-9462,4
1527-1404,1938-3681,3
2317-1537,2317-1545,4
0963-0651,,4
1383-4649,1573-157X,4
0167-5133,1477-4593,1
1598-1657,2233-4866,4
1674-4926,,3
0022-4480,1477-8556,3
2224-2708,,4
2194-8771,2194-878X,4
1687-725X,1687-7268,4
0887-8250,1745-459X,4
1615-9306,1615-9314,3
1757-5818,1757-5826,3
1094-6705,1552-7379,2
2055-6225,,3
0887-6045,,3
2069-3419,2248-2199,4
0092-623X,1521-0715,3
0022-4499,1559-8519,2
1355-2600,1742-6545,3
1743-6095,1743-6109,2
0730-8000,1943-6319,4
2158-2866,2158-2874,4
0022-4502,1542-0604,4
1058-2746,1532-6500,2
1998-2836,2313-6049,4
1997-1397,2313-6022,4
1939-8018,1939-8115,4
1747-7778,1747-7786,4
1949-2006,,4
2090-2905,2090-2913,4
1068-2090,1543-0391,4
0962-1105,1365-2869,3
0022-4510,1748-5827,2
1462-6004,1758-7840,4
0047-2778,1540-627X,2
1834-2612,,4
0736-7236,,4
0972-5792,2199-6873,4
0265-4075,1460-3608,3
2195-3325,,3
1469-6053,1741-2951,1
1053-0789,1573-658X,4
1942-0676,1942-0684,4
0022-4529,1527-1897,2
0022-4537,1540-4560,1
2042-6763,2042-6771,4
0047-2786,1467-9833,3
1727-0634,,4
0047-2794,1469-7823,3
0022-4545,1940-1183,4
0148-8376,1540-7314,4
0964-9069,1469-9621,4
2456-2068,,4
1043-7797,2163-5811,4
1552-4256,1552-4264,4
1533-256X,1533-2578,4
0265-0533,1465-3885,4
1468-0173,1741-296X,4
1360-6441,1467-9841,2
1440-7833,1741-2978,3
2047-7473,2047-7481,4
0022-4561,1941-3300,4
0718-9508,0718-9516,3
1439-0108,1614-7480,3
0928-0707,1573-4846,4
0199-6231,1528-8986,4
0022-4596,1095-726X,3
1432-8488,1433-0768,4
0095-9782,1572-8927,3
1059-3152,2154-6665,3
0022-460X,1095-8568,2
0895-9811,1873-0647,4
0973-1741,0973-1733,4
2339-5095,2339-5206,4
0022-4634,1474-0680,4
0305-7070,1465-3893,3
2206-5865,,3
0022-4642,2325-6893,2
2468-8975,2468-8967,4
2115-7251,,2
0022-4650,1533-6794,4
1463-6204,1469-9818,4
1948-660X,,4
1449-8596,1836-5655,4
0162-6434,2381-3121,4
0022-4669,1538-4764,4
1740-357X,,2
1664-039X,1664-0403,2
2314-4920,2314-4939,3
0891-625X,1527-9383,4
1092-4388,1558-9102,2
1079-0268,2045-7723,4
1939-7909,2328-1030,4
1934-9637,1934-9645,4
0895-2779,1543-2904,3
0193-7235,1552-7638,3
1989-6239,,4
2095-2546,2213-2961,1
2330-0574,,4
0888-4773,1543-270X,2
2152-0704,2152-0712,4
1056-6716,1543-3072,4
2215-020X,2215-0218,4
1527-0025,1552-7794,4
0022-4707,1827-1928,4
1303-2968,,3
0264-0414,1466-447X,3
0094-9655,1563-5163,4
1742-5468,,3
0022-4715,1572-9613,3
0378-3758,1873-1171,4
1548-7660,,2
2214-1766,,4
1559-8608,1559-8616,4
2693-9169,,4
0973-7154,,4
0960-0760,1879-1220,2
2468-8509,2468-7855,4
0022-474X,1879-1212,2
0309-3247,2041-3130,4
0963-8687,1873-1198,1
0965-254X,1466-4488,3
0140-2390,1743-937X,3
1755-425X,,4
1064-8011,1533-4287,2
1052-3057,1532-8511,4
2287-6391,2287-6405,1
2590-1524,,2
1047-8477,1095-8657,3
0022-4766,1573-8779,4
0733-9445,1943-541X,3
2040-2317,,4
0191-8141,1873-1201,3
2470-5314,2470-5322,3
1551-9783,2374-1325,4
1949-6591,1949-6605,4
0884-9153,,4
1028-3153,1552-7808,2
1937-1888,1938-4114,3
2949-8767,2949-8759,2
1465-9891,1475-9942,4
2210-5948,2210-5956,2
1741-5993,1741-6000,3
0920-8542,1573-0484,4
1557-1939,1557-1947,4
0896-8446,1872-8162,3
1063-4576,1934-9408,4
1523-2409,1745-493X,2
1059-4329,1540-5818,4
1027-4510,1819-7094,4
1097-3958,1558-9293,4
2042-8812,,4
1931-7204,1878-7452,3
0022-4790,1096-9098,3
0022-4804,1095-8673,3
2325-0984,2325-0992,3
0733-9453,1943-5428,3
2165-0373,2165-0381,3
1848-9257,,4
2043-0795,2043-0809,4
1054-9811,1540-756X,4
2199-3823,2199-3831,3
2543-4950,2300-3960,4
0966-9582,1747-7646,2
2379-6111,,4
0747-7171,1095-855X,4
0022-4812,1943-5886,3
1527-5256,1540-2347,3
0909-0495,1600-5775,3
0037-9980,,4
1477-2019,1478-0941,3
1674-4918,1759-6831,2
0164-1212,1873-1228,2
1383-7621,1873-6165,3
1004-4132,,4
1009-6124,1559-7067,4
1004-3756,1861-9576,4
1658-3655,,4
1658-3612,,4
2059-190X,,4
2412-8872,2414-9497,4
0022-4871,1552-7816,1
1492-1154,1911-8279,4
2334-9182,2334-9212,4
0897-5930,1528-6991,4
0273-5024,1543-2769,3
0884-1233,1540-7349,4
1531-3220,1531-3239,4
2229-8932,2600-7932,4
1949-260X,,4
1522-8835,1522-8991,4
0892-9912,1573-7047,2
1302-7050,2146-5894,4
1357-633X,1758-1109,3
0022-4898,1879-1204,3
0090-3973,1945-7553,4
0022-4901,1745-4603,3
2667-2960,,4
0092-0703,1552-7824,2
2212-2672,2212-2680,3
0004-5411,1557-735X,2
0001-4966,1520-8524,3
1225-4428,2287-3775,4
1096-2247,2162-2906,4
1050-0545,2157-3107,4
0890-8567,1527-5418,1
0190-9622,1097-6787,1
2474-7661,,4
1067-151X,1940-5480,3
1093-6793,1943-3662,4
0002-7189,1477-4585,3
0587-2871,1547-3317,4
1559-6109,,3
2327-6886,2327-6924,4
1557-2625,1558-7118,4
0002-7820,1551-2916,3
0002-7863,1520-5126,1
0735-1097,1558-3597,1
2574-9870,,4
2688-1152,,4
1546-1440,1558-349X,2
1072-7515,1879-1190,2
0002-8177,1943-4723,3
0002-8614,1532-5415,2
2047-9980,,1
0002-8711,2161-6027,3
0197-1360,1945-2330,3
0002-9726,,4
0894-0347,1088-6834,1
1525-8610,1538-9375,2
1067-5027,1527-974X,2
8756-971X,1943-6270,4
0003-0139,1547-3848,1
2769-7061,2769-707X,4
0003-021X,1558-9331,4
0003-0279,2169-2289,3
1544-3191,1544-3450,4
2053-4477,2053-4485,2
0194-4363,1939-0130,2
8750-7315,1930-8264,4
1078-3903,1532-5725,4
0003-0651,1941-2460,2
0003-1062,2327-9788,4
1044-0305,1879-1123,3
0361-0470,1943-7854,4
0894-7317,,1
1046-6673,1533-3450,1
0162-1459,1537-274X,2
0198-9073,1558-8017,4
1093-474X,1752-1688,4
0003-2778,2352-3050,4
2432-3853,,4
2769-3295,2769-3287,4
0857-1074,2308-118X,4
1354-7860,1469-9648,4
2378-1815,2378-1823,4
2330-1635,2330-1643,3
1536-9323,1558-3457,3
2333-5955,2333-5963,3
0021-9142,2195-0571,4
0022-4928,1520-0469,3
1549-4950,,3
1832-911X,,4
2510-1560,2510-1579,4
