ISSN,EISSN,中科院分区
0353-4316,1848-6061,4
1804-5588,2336-3398,3
1505-9065,2449-8831,4
1844-6086,2066-7760,4
2065-5924,2066-7779,3
1844-6094,2066-7752,4
0001-7213,1801-7576,4
2618-639X,2619-905X,4
0236-6290,1588-2705,4
0044-605X,1751-0147,2
0567-8315,1820-7448,4
0001-723X,1336-2305,4
1217-8837,,4
0324-0770,,4
0001-7272,1463-6395,4
0001-7310,1578-2190,4
1139-9287,1578-2735,4
0210-4806,1699-7980,4
0335-5322,1955-2564,4
1476-7333,1476-7341,4
1476-7503,1741-2617,4
1469-7874,1741-2625,1
1337-933X,1338-4015,4
1765-2723,,4
0192-4788,1544-4368,4
1316-8533,,4
1989-5666,,4
0258-6444,2215-3535,4
0120-1700,2389-8755,4
0515-3700,,4
1669-8975,1669-8983,4
2076-0825,,3
0360-1293,2167-9010,4
2097-0226,2765-8619,4
0964-5284,1759-9873,4
2586-6052,2586-6060,4
2052-8817,,4
1551-9899,1552-0633,4
1570-8705,1570-8713,3
1692-0279,2256-4322,4
1301-2746,,4
1280-8571,1639-4798,4
1755-0637,1755-0645,3
0736-5829,1543-2777,4
1059-7123,1741-2633,4
2198-7335,,4
2255-2863,,4
2174-0992,2254-2728,4
2148-7286,2149-1305,4
1355-6215,1369-1600,3
1606-6359,1476-7392,4
1940-0640,,2
0965-2140,1360-0443,2
0306-4603,1873-6327,2
2772-3690,,3
2214-8604,2214-7810,1
0065-1915,,4
2300-0783,,4
0214-4840,2604-6334,4
2162-3945,2162-397X,3
1848-7718,,4
2175-5787,,4
2177-6083,2358-0917,4
0095-3997,1552-3039,3
0894-587X,1573-3289,3
0001-8325,2449-9471,4
0001-8392,1930-3815,1
2076-3387,,3
1179-318X,,4
2210-6766,2210-6774,4
2363-8346,2363-8354,2
0308-5759,1740-469X,4
1092-6755,1544-452X,4
0263-6174,2048-4038,4
0929-5607,1572-8757,4
0741-7136,1552-3047,4
1045-1595,2162-4070,4
2701-0198,,4
2187-5219,,4
2277-9175,,4
0924-3046,1568-5519,4
2522-0128,2522-0136,1
0169-409X,1872-8294,1
2409-3351,2410-8286,4
2119-0275,,4
2199-160X,,3
1931-4485,1931-4493,4
2699-9412,,4
1614-6832,1614-6840,1
1474-0346,1873-5320,1
1438-1656,1527-2648,3
2524-7921,2524-793X,1
1616-301X,1616-3028,1
2192-2640,2192-2659,2
2542-5048,,1
2640-4567,,3
2055-0340,2055-0359,4
0882-7958,2161-9425,4
2196-7350,,3
2365-709X,,3
0935-9648,1521-4095,1
2213-7467,,3
2699-9307,,4
1536-1365,2169-0375,1
2195-1071,,2
2192-8576,2192-8584,4
2228-5881,2251-7308,4
2699-9293,,3
2577-5421,,1
2772-834X,,1
0921-8831,1568-5527,3
2511-9044,,2
0169-1864,1568-5535,4
2198-3844,,1
2773-045X,,4
1816-112X,,4
2667-9930,,4
2366-7486,,3
1615-4150,1615-4169,2
2513-0390,,3
2366-3987,,4
2310-5380,,4
0079-4252,2545-3149,4
0974-1658,,4
0972-3617,,4
0882-6110,1046-5715,4
2524-6992,,2
2356-654X,2314-7539,4
2287-528X,2287-5271,4
1072-4109,1533-4031,2
1743-6753,1743-6761,4
0188-7009,1661-4909,4
2666-7924,,1
2070-0733,2075-1354,4
0196-8858,1090-2074,3
0001-8678,1475-6064,3
2326-3768,,1
2227-1481,,4
1687-7969,1687-7977,3
0256-1530,1861-9533,1
2056-3868,,4
1751-2549,1756-2201,4
1864-8258,1864-8266,3
2667-3940,,4
0951-7197,1751-7605,4
2975-3848,,4
2379-1357,2165-3984,4
1687-8086,1687-8094,4
1674-9278,,1
1899-5276,2451-2680,4
1895-1171,,4
0001-8686,1873-3727,1
0219-5259,1793-6802,4
2383-8477,2466-0523,4
1019-7168,1572-9044,3
2287-5301,2287-531X,4
1687-8108,1687-8124,4
2731-4235,,2
1862-5347,1862-5355,4
2424-922X,2424-9238,4
1523-4223,1552-3055,3
0974-3243,,4
1079-9389,,2
2351-9797,2351-9800,4
1757-0972,2042-8324,4
1582-7445,1844-7600,4
1336-1376,1804-3119,4
2287-6316,2287-6324,4
0965-9978,1873-5339,3
2234-1722,2234-1730,4
1687-7101,1687-711X,4
2207-9963,2208-598X,1
2720-7242,,4
1615-715X,1615-7168,4
2079-0570,2079-0589,4
2499-1287,,4
1382-4996,1573-1677,2
1687-7357,1687-7365,4
2147-9100,2148-7316,4
2321-8568,2348-4691,4
1687-5893,1687-5907,4
2666-9129,,3
2212-9588,2212-9596,4
2949-8147,2949-8139,4
2628-491X,,4
1569-4909,1879-6974,2
2095-3127,2195-3597,3
2374-068X,2374-0698,4
2234-0912,2234-179X,4
2083-4799,,4
1687-9120,1687-9139,4
1930-5346,1930-5338,4
0001-8708,1090-2082,1
1687-8132,1687-8140,4
1179-7258,,4
1896-1126,1898-4002,4
2044-1282,2044-1290,4
1838-7357,1837-4905,4
1687-9309,1687-9317,4
2515-2459,2515-2467,1
1687-5680,1687-5699,4
2287-237X,2287-2388,4
2043-6254,2043-6262,4
1536-0903,1536-0911,4
2366-7532,2366-7540,4
2191-9496,2191-950X,1
0161-9268,1550-5014,4
2161-8313,2156-5376,2
2662-2009,2538-225X,4
1943-8206,,1
2090-3464,2090-3472,4
2633-4682,2633-4690,4
2332-0036,2332-0044,4
2374-6149,,2
0001-8732,1460-6976,1
1043-4046,1522-1229,4
0730-6679,1098-2329,4
1854-6250,1855-6531,3
2356-6868,2314-7784,4
1867-1152,1869-6090,4
2452-1094,,4
1684-9965,1684-9973,4
2753-6351,,4
2451-4934,2543-6031,4
2523-3106,,4
2772-5820,,2
2080-4075,2299-8624,4
2059-0628,,3
1527-7941,1538-8654,4
0273-1177,1879-1948,3
1369-4332,2048-4011,4
1095-0761,1095-0753,4
0741-238X,1865-8652,3
2662-4052,2662-4060,4
1687-6369,1687-6377,3
1687-8639,1687-8647,4
0309-1708,1872-9657,2
2675-9462,,4
2162-1918,2162-1934,3
1984-5634,,4
2472-5390,,4
1875-9637,2212-1684,3
0001-9054,1420-8903,3
2332-8584,,2
0393-5965,1573-3025,4
0001-9240,2059-6464,4
1680-8584,2071-1409,4
2510-375X,2510-3768,4
0278-6826,1521-7388,4
0740-722X,,4
2375-6314,2375-6322,4
1313-0927,2367-9522,4
1270-9638,1626-3219,1
2226-4310,,3
0364-216X,1432-5241,3
2631-4797,,4
1090-820X,1527-330X,3
1592-6117,1724-2118,4
1434-8411,1618-0399,3
0001-9593,1827-787X,3
2662-2041,2662-205X,4
0886-1099,1552-3020,3
2399-357X,2399-3588,4
0001-9704,2339-9686,4
1511-8819,2550-1755,3
1814-6627,1753-5921,4
2332-2373,2332-2381,4
0974-4053,0974-4061,4
0002-0397,1868-6869,2
0001-9720,1750-0184,2
0001-9909,1468-2621,2
1062-4783,1945-6182,3
1569-2094,1569-2108,4
0263-0338,1572-9842,2
0001-9933,1937-2108,3
1017-6772,1467-8268,3
1872-5457,1872-5465,4
2311-8970,,4
0145-2258,2163-9108,2
1021-3589,2254-8854,4
1937-6812,2163-2642,4
1680-6905,1729-0503,4
1753-2523,1753-2531,4
1681-5556,2305-2562,3
2046-8083,2046-8091,4
1993-3738,,4
1608-5914,1727-9364,4
1817-7417,0976-3600,4
2223-9170,2226-7220,4
0141-6707,1365-2028,4
2040-0705,2040-0713,4
2211-419X,2211-4203,4
2078-5127,,4
2156-4574,2153-3660,4
1936-0282,,4
0954-8890,1755-1609,4
2225-2002,2225-2010,4
2210-9730,1708-7384,4
0795-4778,,4
1814-232X,1814-2338,4
1015-8618,1992-2647,4
1682-5055,,4
2071-2928,2071-2936,4
1022-0119,1727-9380,4
1118-4841,2141-3606,4
1811-7295,2469-7656,4
1998-2054,,4
2042-1338,2042-1346,4
1110-5704,1961-9987,4
2410-7220,2410-8200,4
1562-6997,2309-737X,4
2374-3670,2374-3689,3
2042-1478,2410-4906,4
1024-6029,2154-0128,3
1939-2206,1939-2214,2
1027-4332,,4
0002-0206,1555-2462,3
0002-0184,1469-2872,3
0378-9411,2410-3039,4
1562-7020,2224-073X,4
2033-8732,2034-8436,3
1012-9405,2190-7668,4
1465-4253,2156-4914,4
2069-1025,2248-3446,4
0002-0729,1468-2834,2
2340-9592,,4
0144-686X,1469-1779,3
0163-5158,1936-606X,4
1568-1637,1872-9649,1
1013-0950,2158-978X,4
1578-7168,2340-4655,4
2692-4560,,1
1359-1789,1873-6335,2
0096-140X,1098-2337,2
1360-7863,1364-6915,3
2152-5250,,3
2589-9589,,4
1474-9718,1474-9726,1
1594-0667,1720-8319,3
1368-5538,1473-0790,3
2663-8851,,4
2475-0360,,4
1382-5585,1744-4128,4
1578-2174,1989-7200,4
0874-5498,,4
0211-6642,2174-3347,4
1663-7852,1663-7909,4
2277-9760,2321-0281,4
0303-1853,2078-0400,4
1300-0012,,4
0742-4477,1520-6297,3
1870-5472,2594-0244,4
2471-9625,,4
2193-7532,,2
1459-6067,1795-1895,4
1461-9555,1461-9563,3
0168-1923,1873-2240,1
1068-2805,2372-2614,4
2414-584X,,4
0139-570X,1805-9295,3
0169-5150,1574-0862,2
0002-1466,2041-6326,4
0002-1490,,2
0002-1482,1533-8290,4
2249-720X,2249-7218,4
2312-3370,2312-3389,4
0308-521X,1873-2267,1
0378-3774,1873-2283,1
0889-048X,1572-8366,2
0167-8809,1873-2305,1
2077-0472,,2
2624-7402,,3
1025-0247,,4
0216-0455,2527-3825,4
0126-0537,,4
0002-1857,,4
2730-5066,,4
1405-3195,2521-9766,4
2168-3565,2168-3573,2
0167-4366,1572-9680,3
2343-6115,,4
2285-5718,2286-0126,4
2215-3608,,4
1774-0746,1773-0155,1
0002-1962,1435-0645,3
2073-4395,,2
2639-6696,,4
2576-604X,,1
2340-7743,,4
0951-5666,1435-5655,3
0921-7126,1875-8452,4
0890-0604,1469-1760,3
0738-4602,2371-9621,4
2673-2688,,4
0001-1452,1533-385X,3
2280-9112,2239-6144,4
1695-9752,1578-9705,4
0001-1541,1547-5905,3
1090-7165,1573-3254,3
0954-0121,1360-0451,4
0899-9546,1943-2755,4
1087-2914,1557-7449,2
0889-2229,1931-8405,4
1742-6405,,4
2090-1240,2090-1259,4
1139-6121,1698-6997,4
0269-9370,1473-5571,2
1461-0213,1570-5595,2
2471-2086,,4
2575-615X,,4
2375-1495,,4
2377-9098,,4
2333-8326,2333-8334,4
2372-0344,2372-0352,4
2471-2132,,4
2372-0468,2372-0484,4
2473-6988,,3
2375-1576,,4
2471-1888,,4
2372-0301,,4
2373-8006,2373-7972,4
2327-8994,,3
2090-4479,2090-4495,2
1687-7934,2090-925X,4
2158-3226,,4
0927-3379,1875-8339,4
1873-9318,1873-9326,4
1178-6221,,4
1748-8842,1758-4213,4
2035-8466,,4
1775-4275,,4
1406-3859,2228-3897,4
1608-5906,1727-9445,4
1944-7515,1944-7558,4
2398-7723,,3
2157-6998,2157-7005,4
0364-0094,1475-4541,2
2381-5949,2381-652X,4
0126-5008,0126-8694,4
0972-8600,2543-3474,3
0303-1896,2079-2883,4
1803-9588,,4
1641-9227,,4
0340-2541,1438-938X,4
0341-0501,1438-9916,4
2193-5203,2193-5211,4
0341-051X,1438-9940,4
0001-7868,1438-8820,4
1801-9064,,4
0889-8731,2375-4036,4
2232-1950,2232-1969,4
0126-012X,2338-557X,3
0950-3110,1473-348X,2
0211-3589,1988-2955,4
1394-6870,,4
2171-9624,,4
0002-4821,1925-8356,4
0311-5518,1752-0754,4
0735-0414,1464-3502,4
1535-7414,1930-0573,2
2993-7175,,3
0741-8329,1873-6823,4
0734-7324,1544-4538,4
0002-5100,,4
1517-106X,1807-0299,4
1980-0436,,4
1565-1525,1565-5423,3
1427-3101,,4
2353-3854,,4
1110-0168,2090-2670,2
2090-5068,2090-5076,4
1226-2617,2093-0860,2
2211-9264,,2
1937-0652,1944-7833,2
1726-3255,2415-721X,4
0002-5232,1573-8302,4
1005-3867,0219-1733,4
0002-5240,1420-8911,3
1472-2739,,3
2313-1691,2214-2584,1
1386-923X,1572-9079,4
2158-5571,2157-6203,4
0178-4617,1432-0541,4
1748-7188,,4
1999-4893,,4
0214-4808,2171-861X,3
0269-2813,1365-2036,1
0867-4361,1689-3530,4
2146-7757,,4
2766-9645,,4
2689-5293,2689-5307,4
0941-8849,2195-6405,4
0301-0546,1578-1267,4
0344-5062,,4
1323-8930,1440-1592,2
1088-5412,1539-6304,3
2092-7355,2092-7363,2
2288-0402,2288-0410,4
1710-1492,,4
0105-4538,1398-9995,1
0340-7969,,4
2036-5195,,4
1138-3194,2339-9694,4
2757-8038,,4
0716-4254,0718-2201,4
1664-2201,1664-221X,2
2535-0889,,4
1286-4986,,4
1875-0672,1875-0680,4
1390-325X,1390-8642,4
1989-9971,,4
1037-969X,2398-9084,4
1177-1801,1174-1740,3
0304-3754,2163-3150,3
1868-596X,1868-8551,2
2035-7680,,4
0893-0341,,4
2352-8729,,3
2352-8737,,2
1552-5260,1552-5279,1
1758-9193,,1
2217-9666,2406-1654,4
0084-5841,,4
2322-6307,,4
2191-0855,,2
0044-7447,1654-7209,2
1575-2100,,4
0002-6980,1745-8234,2
2523-1995,,4
0002-7014,1851-8044,4
0044-7471,,4
1130-2887,2340-4396,4
1577-3442,1989-9831,4
0002-726X,1543-0375,4
0002-7294,1548-1433,1
0002-7316,2325-5064,1
1073-9300,1549-6503,3
0027-9048,,4
0002-7642,1552-3381,3
0002-7685,1938-4211,4
0149-9408,2153-4578,4
0002-7766,1744-1714,2
1051-3558,2153-8441,4
0002-7812,1945-2705,4
1945-7782,1945-7790,1
1945-7731,1945-774X,1
1945-7707,1945-7715,1
1945-7669,1945-7685,2
2640-205X,2640-2068,1
0002-8282,1944-7981,1
0002-8312,1935-1011,1
0094-0496,1548-1425,1
0002-838X,1532-0650,3
0002-8444,1938-422X,4
1942-2962,1942-2970,4
2666-6022,,4
0002-8703,1097-6744,2
0002-8762,1937-5239,1
0065-860X,1085-7931,4
1533-7731,,3
0161-6463,,3
0164-0178,1086-3141,3
0002-9092,1467-8276,2
1533-3175,1938-2731,4
0002-9114,1939-828X,2
1059-0889,1558-9137,4
1526-5161,1536-0075,1
2692-7691,,2
0002-9122,1537-2197,2
1935-519X,1935-5181,4
2156-6976,,3
0002-9149,1879-1913,3
2160-200X,,4
1175-3277,1179-187X,3
1941-5923,,4
0192-415X,1793-6853,2
2164-7712,,4
2330-1910,,4
1175-0561,1179-1888,1
0002-9157,2160-0562,4
0002-9165,1938-3207,1
0277-3732,1537-453X,4
0002-9173,1943-7722,4
0091-0562,1573-2770,2
0002-919X,2326-9197,3
1066-2316,1936-1351,3
1062-3264,1937-710X,3
2049-7113,2049-7121,3
0146-3721,1573-3262,4
0894-8275,,4
0193-1091,1533-0311,4
0892-3647,1538-9286,4
0095-2990,1097-9891,3
0002-9246,1536-7150,4
0195-6744,1549-6511,2
0735-6757,1532-8171,3
0002-9254,1943-7749,3
0002-9262,1476-6256,2
1098-2140,1557-0878,4
0192-6187,1521-0383,4
0195-7910,1533-404X,4
0002-9270,1572-0241,1
1064-7481,1545-7214,2
2332-3493,2332-3507,2
1932-5037,2168-3751,4
0890-1171,2168-6602,4
1079-2082,1535-2900,4
0361-8609,1096-8652,1
1049-9091,1938-2715,4
1042-0533,1520-6300,4
0002-9297,1537-6605,1
0895-7061,1941-7225,3
0271-3586,1097-0274,3
0196-6553,1527-3296,3
0002-9300,2161-7953,2
0272-6386,1523-6838,1
0098-8588,2375-835X,4
0002-9319,2161-797X,3
1559-8276,1559-8284,4
1088-0224,,4
0002-9327,1080-6377,1
1552-4825,1552-4833,3
1552-4841,1552-485X,4
1552-4868,1552-4876,3
1062-8606,1555-824X,4
0002-9343,1555-7162,3
1557-9883,1557-9891,4
0250-8095,1421-9670,2
0195-6108,1936-959X,2
2160-8407,,4
0002-936X,1538-7488,4
2589-9333,,2
0002-9378,1097-6868,1
0272-9490,1943-7676,4
0002-9394,1879-1891,1
0889-5406,1097-6752,2
0002-9432,1939-0025,3
0196-0709,1532-818X,3
0002-9440,1525-2191,2
0735-1631,1098-8785,4
0002-9459,1553-6467,3
0002-9475,1086-3168,2
0894-9115,1537-7385,4
0002-9505,1943-2909,4
0363-6143,1522-1563,3
0193-1849,1522-1555,2
0193-1857,1522-1547,3
0363-6135,1522-1539,2
1040-0605,1522-1504,3
0363-6119,1522-1490,4
1931-857X,1522-1466,2
1938-0399,1938-0402,4
0092-5853,1540-5907,1
1099-209X,1874-9380,4
2666-6677,,2
0749-3797,1873-2607,2
0275-2565,1098-2345,3
0002-953X,1535-7228,1
0002-9556,1939-8298,4
0002-9564,2575-6559,3
0090-0036,1541-0048,2
1046-7408,1600-0897,4
1073-449X,1535-4970,1
1044-1549,1535-4989,2
1945-8924,1945-8932,3
0361-803X,1546-3141,2
0002-9599,1945-452X,4
0277-7126,2153-2990,4
1554-6128,1554-6136,4
0002-9602,1537-5390,1
1058-0360,1558-9110,3
0363-5465,1552-3365,1
2160-4150,,4
0002-9610,1879-1883,3
0147-5185,1532-0979,1
0002-9629,1538-2990,4
1075-2765,1536-3686,4
1943-8141,,4
1600-6135,1600-6143,1
0002-9637,1476-1645,4
0002-9645,1943-5681,3
1055-0496,1521-0391,4
0882-1127,2326-2486,3
1465-7252,1465-7260,4
0896-7148,1468-4365,2
0002-9823,2326-9235,3
0065-9142,1527-2125,4
0002-9831,1527-2117,3
0740-2783,2162-2698,4
0002-9890,1930-0972,4
0003-004X,1945-3027,3
0003-0082,1937-352X,4
0734-4392,1945-2349,3
0003-0147,1537-5323,2
1466-4658,1743-7903,4
1054-7479,1548-4238,4
0003-0481,2152-1123,2
0360-3709,2162-4984,4
0003-0554,1537-5943,1
2161-1580,2161-1599,4
1532-673X,1552-3373,3
0003-066X,1935-990X,1
0003-0678,1080-6490,3
0272-2011,1943-9954,4
0275-0740,1552-3357,3
0003-0996,1545-2786,4
0003-1224,1939-8271,1
0003-1232,1936-4784,3
0003-1283,1527-2133,4
0003-1305,1537-2731,3
0044-8060,,4
0003-1348,1555-9823,4
1841-1487,1841-964X,4
2174-0178,,4
0003-1615,1533-6247,1
1582-9146,2247-9104,4
0939-4451,1438-2199,3
1300-1795,,4
0173-5373,1568-5381,4
1083-446X,1525-9153,4
1350-6129,1744-2818,2
2167-8421,2167-9223,4
2250-4982,,4
0569-9746,2667-629X,4
2146-9059,,4
1075-9964,1095-8274,3
1472-0299,1878-7584,4
0310-057X,1448-0271,4
2352-5568,,2
1607-8322,2220-5799,4
2637-3726,,4
0003-2409,1365-2044,1
2731-6858,2731-6866,4
1642-5758,1731-2531,4
