ISSN,EISSN,影响因子,JCR分区
2210-6707,2210-6715,12.0,Q1
2542-5048,2542-5048,12.0,Q1
2769-3333,2769-3325,12.0,Q1
0165-9936,1879-3142,12.0,Q1
1063-6706,1941-0034,11.9,Q1
0026-0495,1532-8600,11.9,Q1
2213-2317,2213-2317,11.9,Q1
1818-0876,1818-0876,11.9,Q1
0163-4453,1532-2742,11.9,Q1
2367-2617,2367-0983,11.9,Q1
,2057-3960,11.9,Q1
2292-8782,2292-8782,11.9,Q1
2755-2608,2755-2500,11.9,Q1
0066-4286,1545-2107,11.9,Q1
1558-3724,1558-3716,11.9,Q1
0190-9622,1097-6787,11.8,Q1
2666-6340,2666-6340,11.8,Q1
2213-1779,2213-1787,11.8,Q1
0354-2025,2335-0164,11.8,Q1
1361-8415,1361-8423,11.8,Q1
2468-0133,2468-0133,11.8,Q1
0963-8687,1873-1198,11.8,Q1
1359-6101,1879-0305,11.8,Q1
0006-8950,1460-2156,11.7,Q1
1464-7931,1469-185X,11.7,Q1
2041-8205,2041-8213,11.7,Q1
1942-4787,1942-4795,11.7,Q1
0066-426X,1545-1593,11.7,Q1
0002-8282,1944-7981,11.6,Q1
1866-3508,1866-3516,11.6,Q1
2095-8099,2096-0026,11.6,Q1
2044-5385,2044-5385,11.6,Q1
1040-4651,1532-298X,11.6,Q1
2590-3462,2590-3462,11.6,Q1
2040-7122,2040-7130,11.6,Q1
2467-964X,2452-414X,11.6,Q1
0008-6223,1873-3891,11.6,Q1
0198-6325,1098-1128,11.6,Q1
1931-9401,1931-9401,11.6,Q1
2667-1093,2667-1093,11.6,Q1
2751-1871,2751-1871,11.6,Q1
2643-3230,2643-3249,11.5,Q1
1536-1284,1558-0687,11.5,Q1
0168-3659,1873-4995,11.5,Q1
0926-5805,1872-7891,11.5,Q1
,2050-7771,11.5,Q1
1936-8798,1876-7605,11.4,Q1
0046-1520,1532-6985,11.4,Q1
1941-1383,1941-1391,11.4,Q1
0034-4257,1879-0704,11.4,Q1
0736-5845,1879-2537,11.4,Q1
1362-0347,1468-960X,11.4,Q1
2059-7037,2059-7037,11.4,Q1
1081-0706,1530-8995,11.4,Q1
1543-592X,1545-2069,11.4,Q1
0962-4929,1474-0508,11.3,Q1
0820-3946,1488-2329,11.3,Q1
2689-0186,2689-0186,11.3,Q1
0304-3894,1873-3336,11.3,Q1
1080-0549,1559-0267,11.3,Q1
0013-936X,1520-5851,11.3,Q1
1753-5123,1753-5131,11.3,Q1
,2688-4062,11.3,Q1
1756-994X,1756-994X,11.2,Q1
0195-9255,1873-6432,11.2,Q1
0091-6749,1097-6825,11.2,Q1
1556-603X,1556-6048,11.2,Q1
2661-8028,2661-8036,11.2,Q1
,2770-5900,11.2,Q1
1552-5260,1552-5279,11.1,Q1
,2399-3529,11.1,Q1
1051-8215,1558-2205,11.1,Q1
2214-8604,2214-7810,11.1,Q1
2168-6068,2168-6084,11.0,Q1
