ISSN,EISSN,影响因子,JCR分区
0186-2391,2395-8235,0.1,Q4
2311-8970,2311-8970,0.1,Q4
1300-1795,1300-1795,0.1,Q4
2352-5800,2352-5819,0.1,Q4
2384-8898,2384-8898,0.1,
1499-7185,1499-7185,0.1,
0166-0470,2589-3343,0.1,
2532-3563,2532-1110,0.1,
0009-0875,0009-0875,0.1,Q4
1575-9733,1575-9733,0.1,Q4
1698-322X,2340-8146,0.1,
1561-8323,2524-2431,0.1,Q4
0854-1418,0854-1418,0.1,Q4
1133-5351,2174-5676,0.1,
0122-6339,2248-6798,0.1,Q4
2340-7263,2340-7263,0.1,Q4
0328-185X,1852-1568,0.1,Q4
1676-2592,1676-2592,0.1,Q4
2298-0997,2298-0997,0.1,Q4
,2188-5729,0.1,Q4
1413-9073,2358-4114,0.1,
2284-0753,2284-0753,0.1,Q4
0306-4220,1746-6067,0.1,
0971-7749,2249-9520,0.1,Q4
0103-815X,,0.1,
2244-811X,2244-811X,0.1,
0536-1036,0536-1036,0.1,Q4
1846-5412,1846-5412,0.1,Q4
1062-8061,1938-1913,0.1,Q3
0030-9338,1613-7558,0.1,Q4
1841-5377,2247-8353,0.1,
0316-2923,1492-1391,0.1,
1330-0229,1848-428X,0.1,Q4
1120-9496,1973-8218,0.1,Q4
2538-5542,2538-2705,0.1,Q4
,2175-2168,0.1,Q4
1951-6207,1951-6207,0.1,
1211-1635,2336-5609,0.1,
0035-1326,,0.1,
2036-6728,2036-6728,0.1,
1471-5767,1755-2028,0.1,
2182-8474,2182-9640,0.1,Q4
0765-3697,1782-155X,0.1,
0247-106X,1782-1568,0.1,Q4
1536-0644,1538-1943,0.1,Q4
1179-1616,1179-1616,0.1,Q4
1414-5731,2358-6958,0.1,
2310-0389,2310-0389,0.1,Q4
0303-9021,0303-9021,0.1,Q4
2079-8334,2079-8334,0.1,Q4
1671-9484,1671-9484,0.1,
1984-4247,1984-4255,0.1,
1885-3730,2340-6992,0.1,
1833-5675,1442-6951,0.1,Q4
2257-0543,2425-231X,0.1,Q4
2554-5280,,0.1,Q4
0210-9611,2445-1908,0.1,Q3
1909-941X,2389-7848,0.1,Q4
2014-0304,2014-0444,0.1,Q4
2171-956X,2174-1131,0.1,
1582-4438,1582-4438,0.1,
1688-3497,0797-3691,0.1,Q4
1659-4142,1659-4142,0.1,Q4
0104-4060,1984-0411,0.1,Q4
1110-1121,1687-7624,0.1,Q4
0103-801X,2176-1078,0.1,
1481-5974,1708-0401,0.1,Q4
0014-2166,2101-0056,0.1,
0120-338X,2256-5469,0.1,Q4
1576-4729,1576-4729,0.1,Q3
2307-4515,2307-4515,0.1,Q4
1708-7570,1708-7570,0.1,Q4
2636-7734,2667-6974,0.1,Q4
0378-6471,2092-9374,0.1,Q4
1429-0618,1429-0618,0.1,Q4
1697-5928,1697-5928,0.1,
0030-3917,2171-8814,0.1,Q4
2241-1925,2241-1925,0.1,Q4
2257-5405,2119-5242,0.1,Q4
0034-1282,0034-1282,0.1,Q4
0829-2922,1747-5414,0.1,
1984-428X,2316-1817,0.1,Q4
2216-1201,2216-1201,0.1,Q4
1516-4179,2316-9044,0.1,Q4
,2444-6157,0.1,Q4
1577-239X,2255-5986,0.1,Q4
2175-5361,2175-5361,0.1,Q4
2344-8172,2344-8172,0.1,Q4
2173-1950,2173-1950,0.1,Q4
0327-5019,1851-2135,0.1,Q4
2346-1780,2346-1780,0.1,
0097-9554,0097-9554,0.1,Q4
0328-1396,0328-1396,0.1,
0212-8365,2253-900X,0.1,
1561-7793,1561-803X,0.1,Q4
1300-6878,2528-8644,0.1,Q4
0208-6034,2449-8300,0.1,
1406-3859,2228-3897,0.1,Q3
2111-5028,2111-5028,0.1,Q4
2039-2281,2039-2281,0.1,
0211-3538,1988-4125,0.1,
0003-9853,2327-0667,0.1,
2318-9428,2318-9428,0.1,
1409-3049,1659-3286,0.1,Q4
0067-9615,1981-4100,0.1,Q4
0326-1735,2313-903X,0.1,Q4
0103-5355,2359-5922,0.1,Q4
0394-9508,1827-1782,0.1,Q4
0120-4645,2256-5078,0.1,Q4
1870-1191,2448-539X,0.1,Q4
0947-031X,2569-1589,0.1,
1123-9247,1123-9247,0.1,
2280-4056,2280-4056,0.1,Q4
1514-0105,2314-2561,0.1,Q4
1692-0074,2382-3518,0.1,Q4
1315-0006,1315-0006,0.1,Q4
2148-3620,2148-5402,0.1,Q4
2310-4287,2310-4287,0.1,
0234-5730,,0.1,Q4
2731-7102,2731-7110,0.1,Q4
1790-3572,1791-7603,0.1,Q3
1804-0616,2336-3525,0.1,Q4
0020-0093,1777-5876,0.1,Q4
0121-750X,2344-8393,0.1,Q4
2471-3864,2471-3864,0.1,Q4
1443-0770,1443-0770,0.1,Q4
1735-7306,1735-7306,0.1,Q4
2619-9793,2148-094X,0.1,Q4
1018-1687,1018-1687,0.1,Q4
,1308-8491,0.1,Q4
2149-1658,2149-1658,0.1,Q4
0257-9731,,0.1,Q4
2231-0754,2231-5357,0.1,Q4
1598-5385,2233-6648,0.1,Q4
1225-6285,2287-321X,0.1,Q4
1814-151X,1814-151X,0.1,Q4
0126-074X,2338-6223,0.1,Q4
2281-8421,2281-8421,0.1,Q4
1229-3008,2287-6251,0.1,Q4
0275-1607,,0.1,
0034-7191,2359-5736,0.1,Q4
1794-631X,2500-5782,0.1,Q4
2225-5109,2227-4731,0.1,Q4
1983-2664,1983-2664,0.1,Q4
1012-1617,2244-8853,0.1,Q4
2346-075X,2346-075X,0.1,Q4
1909-4450,2256-5027,0.1,Q4
,2386-9453,0.1,Q4
0223-3711,,0.1,
0035-3833,2104-385X,0.1,
0091-1062,,0.1,Q4
1806-5562,1980-6108,0.1,Q4
2038-3150,2038-3150,0.1,Q4
1303-9407,2619-9890,0.1,Q4
0122-7610,2389-9182,0.1,Q4
2307-6119,2307-6119,0.1,Q4
0211-0784,2013-9136,0.1,Q4
1300-7467,1300-7467,0.1,Q4
2281-1605,2281-1605,0.1,Q4
0042-8841,0042-8841,0.1,Q4
2014-8526,2014-8534,0.1,
0325-2957,1851-6114,0.1,Q4
0515-3700,0515-3700,0.1,Q4
2177-6083,2358-0917,0.1,Q4
0001-9704,2339-9686,0.1,Q4
2027-7458,2390-0067,0.1,Q4
0327-358X,1850-1168,0.1,Q4
1214-2158,1805-4412,0.1,Q4
1563-3241,1563-3241,0.1,Q4
,2667-663X,0.1,Q4
2037-2485,2037-2485,0.1,
0972-7566,0972-7566,0.1,Q4
0341-4183,1865-7648,0.1,Q4
1122-5165,1972-5019,0.1,Q4
0205-1834,1314-8508,0.1,
0210-573X,1578-9349,0.1,Q4
,2368-9587,0.1,Q4
0121-4772,2248-4337,0.1,Q4
1177-1828,,0.1,Q4
1853-0982,1852-2971,0.1,Q4
0315-2340,0315-2340,0.1,Q4
2179-8435,2179-8435,0.1,Q4
1885-5679,1885-5679,0.1,
2147-2092,2147-2092,0.1,Q4
0949-8036,1436-4891,0.1,Q4
,2731-6203,0.1,Q4
0016-710X,1849-0611,0.1,Q4
0017-2294,0017-2294,0.1,Q4
0213-0610,2386-3374,0.1,Q4
0973-1466,0973-9262,0.1,Q4
2182-9535,2182-9535,0.1,Q4
2146-6505,2147-1894,0.1,Q4
,2717-9206,0.1,Q4
0972-6306,0972-6306,0.1,Q4
2059-190X,2059-190X,0.1,Q4
0128-0333,0128-0333,0.1,Q4
0023-2076,,0.1,Q4
1758-3489,1758-3497,0.1,Q4
1120-9607,1120-9607,0.1,Q4
1246-7391,1873-6475,0.1,Q4
1134-2838,2173-1241,0.1,Q4
1515-5994,1515-5994,0.1,Q4
0104-7809,1980-3990,0.1,Q4
2091-2978,2091-2978,0.1,Q4
1683-979X,1683-9803,0.1,Q4
1643-9279,2084-9842,0.1,Q4
1807-8389,1516-0351,0.1,Q4
1856-9331,1856-9331,0.1,Q4
0319-485X,1748-0922,0.1,
2176-9036,2176-9036,0.1,Q4
2179-4200,2179-4200,0.1,Q4
2238-3360,2238-3360,0.1,Q4
1900-8260,1900-8260,0.1,Q4
1659-4703,1659-4703,0.1,Q4
2177-1626,2177-1626,0.1,Q4
1988-5091,1988-5091,0.1,Q4
1696-9626,1696-9626,0.1,Q4
1983-5213,1983-5213,0.1,Q4
2027-2448,2027-2448,0.1,Q4
0318-479X,1705-0065,0.1,Q4
1582-456X,,0.1,Q4
1852-4184,1852-4222,0.1,Q4
0125-1562,0125-1562,0.1,Q4
1391-8834,2279-1965,0.1,Q4
1826-7513,1826-7505,0.1,Q4
0867-0633,2545-2061,0.1,
0259-2339,0259-2339,0.1,Q4
1300-0039,2147-9682,0.1,Q4
0270-7993,2158-8457,0.1,
1316-8533,1316-8533,0.1,Q4
1641-9227,1641-9227,0.1,Q4
2193-5203,2193-5211,0.1,Q4
2079-7192,2079-0694,0.1,Q4
1514-3899,2422-6580,0.1,Q3
0870-4112,2183-7139,0.1,
0520-4100,2014-993X,0.1,Q4
0956-4748,1741-2668,0.1,Q4
2221-5948,2222-7431,0.1,Q4
2007-3577,2007-6142,0.1,Q4
1183-1693,1183-1693,0.1,
2236-532X,2316-1329,0.1,Q4
0149-9009,1938-1395,0.1,Q4
1133-7613,1988-2521,0.1,Q4
0718-4123,0718-4123,0.1,Q4
0797-6062,2393-5979,0.1,Q4
0011-250X,,0.1,
0122-8455,2590-7840,0.1,Q4
1677-1303,1983-9294,0.1,Q4
1794-9998,2256-3067,0.1,Q4
1517-1949,1983-9278,0.1,Q4
0101-9031,1984-6444,0.1,Q4
1651-6826,2040-3801,0.1,
2731-7420,2731-7439,0.1,Q4
1415-7543,1981-9021,0.1,Q4
1850-1885,2346-898X,0.1,Q4
1517-7793,1517-7793,0.1,Q4
1566-9076,,0.1,Q4
2172-8690,2172-8690,0.1,Q4
0275-7664,2333-5092,0.1,
1610-2894,1610-2908,0.1,Q4
2231-3087,2230-9632,0.1,Q4
0439-691X,2459-4849,0.1,
2148-7219,2458-9209,0.1,Q4
1434-4653,1619-4292,0.1,Q4
0976-5921,0976-5921,0.1,Q4
0972-3757,2456-6330,0.1,Q4
0535-5133,2477-9393,0.1,Q4
0973-9335,0973-9343,0.1,Q4
,2822-4469,0.1,Q4
2149-9934,2149-9934,0.1,Q4
2148-6646,2602-3911,0.1,Q4
2321-8525,2321-2810,0.1,Q4
1627-9204,2117-4970,0.1,Q4
,2289-5728,0.1,Q4
1769-7379,1769-7379,0.1,
1305-2381,1305-2381,0.1,Q4
1139-1987,1988-3277,0.1,Q4
1408-1741,1581-3215,0.1,Q4
1726-9776,1996-1812,0.1,Q4
0974-438X,0974-438X,0.1,Q4
1851-2577,1851-2577,0.1,Q4
0211-4526,2254-6243,0.1,Q4
1777-7852,1777-7852,0.1,
0115-463X,,0.1,Q4
1734-7009,2084-0535,0.1,Q4
0295-2319,1953-8286,0.1,Q4
2218-5194,2218-5194,0.1,Q4
1688-7026,1688-7026,0.1,Q4
0124-0781,0124-0781,0.1,Q4
2264-6949,2264-6949,0.1,
2251-9572,2251-9580,0.1,Q4
2176-6649,2176-6649,0.1,Q4
1414-0896,2318-0722,0.1,Q4
1900-6896,2590-9452,0.1,Q4
0123-9015,2346-0199,0.1,Q4
2215-2601,2215-2601,0.1,Q4
2317-7721,2317-7721,0.1,Q4
2318-8790,2318-8790,0.1,Q4
1852-7175,1852-7175,0.1,Q4
1575-1198,1575-1198,0.1,Q4
1853-6190,1853-6190,0.1,Q4
0303-3295,1688-0390,0.1,Q4
2389-8186,2389-8194,0.1,Q4
2178-9061,2178-9061,0.1,Q4
2542-0526,2542-0526,0.1,Q4
1980-5160,1980-5160,0.1,Q4
1897-7146,2719-4264,0.1,Q4
0379-3982,2215-3241,0.1,Q4
1666-0714,1853-984X,0.1,Q4
2238-104X,2238-104X,0.1,Q4
1954-4863,1950-5698,0.1,Q4
1612-9008,2196-8276,0.1,Q4
2147-2270,2147-2270,0.1,Q4
0123-4471,2462-9782,0.1,Q4
1115-3474,2321-6670,0.1,Q4
0930-9225,1435-1277,0.1,Q4
0102-700X,2237-8723,0.1,Q3
1669-8975,1669-8983,0.1,Q4
0740-722X,0740-722X,0.1,Q4
1139-3327,2253-8151,0.1,Q4
0004-3214,0004-3214,0.1,
1762-6110,1762-6110,0.1,
1682-2749,1682-2749,0.1,Q4
1562-3297,1562-3297,0.1,Q4
2477-9369,2244-7881,0.1,Q4
2196-5099,,0.1,Q4
0233-4755,,0.1,Q4
0101-708X,1984-8501,0.1,Q4
1512-5033,2303-8888,0.1,Q4
1405-6313,2448-6302,0.1,
1958-9212,1958-9212,0.1,Q4
2314-2138,2314-1530,0.1,Q4
1578-4223,2462-7259,0.1,Q4
0415-6412,1439-4359,0.1,Q4
0120-677X,2145-5880,0.1,Q4
1110-1067,2090-9268,0.1,Q4
0719-3432,0718-5766,0.1,Q4
0926-4981,1564-0094,0.1,Q4
0755-7809,2104-3752,0.1,Q4
1886-337X,1886-337X,0.1,Q4
0015-9409,,0.1,
1665-9201,1665-9201,0.1,Q4
0304-4866,0304-4866,0.1,Q4
0393-1641,,0.1,Q4
2340-2792,2340-2792,0.1,Q4
2255-5684,2255-5684,0.1,Q4
1679-9860,1679-9860,0.1,Q4
1264-7527,1950-6368,0.1,Q4
1270-0835,,0.1,Q3
2238-6270,2238-6270,0.1,Q3
0976-9218,0976-9218,0.1,Q4
1665-2673,2594-0392,0.1,Q4
1885-1088,1885-1088,0.1,
0037-9174,1957-7842,0.1,Q4
1813-4092,1813-4092,0.1,Q4
1886-3329,1886-3329,0.1,Q4
0024-9033,1916-0666,0.1,Q4
1727-897X,1727-897X,0.1,Q4
1137-2346,2340-003X,0.1,
1870-6800,1870-6800,0.1,Q4
1669-6581,1669-6581,0.1,Q4
2237-3667,2237-3667,0.1,Q4
2070-8157,2706-8080,0.1,Q4
2007-1582,2007-3682,0.1,Q4
1698-1189,1698-1189,0.1,Q4
2007-4425,2007-4638,0.1,Q4
1517-3275,2237-1753,0.1,Q4
0093-3651,,0.1,Q4
2279-9818,2279-9818,0.1,Q4
1885-7353,2255-2022,0.1,
0832-6193,0832-6193,0.1,Q4
0939-7868,1439-1422,0.1,Q4
2366-1313,,0.1,Q4
2175-5787,2175-5787,0.1,Q4
0003-6420,0003-6420,0.1,
1943-9938,1943-9946,0.1,
1277-7897,2263-4746,0.1,
0185-1926,2448-8798,0.1,Q3
2516-8029,2516-8037,0.1,
0007-9731,2119-1026,0.1,
0010-8235,2255-2855,0.1,
2176-4174,2176-4174,0.1,Q3
1519-3640,2238-9024,0.1,Q4
2007-3054,2007-3054,0.1,Q4
2221-2434,2221-2434,0.1,Q4
0259-0247,0259-0247,0.1,
1128-8132,1128-8132,0.1,Q4
1135-4712,1988-3269,0.1,
2757-9395,2757-9476,0.1,Q3
1989-0494,1989-0494,0.1,Q4
1064-5586,1064-5586,0.1,
0028-0712,,0.1,Q4
0362-1596,0362-1596,0.1,
2386-6098,2386-6098,0.1,Q4
0048-4911,,0.1,
1390-0099,2588-0780,0.1,Q3
1696-9642,1696-9642,0.1,Q4
1696-6759,2254-3805,0.1,Q4
0035-1601,,0.1,
1856-9528,1856-9528,0.1,Q4
0747-5284,2632-3494,0.1,
2250-5121,2250-5121,0.1,Q3
1228-2472,,0.1,
1870-719X,2007-963X,0.1,Q3
2373-5058,2373-5066,0.1,Q4
2477-9547,1317-8822,0.1,Q4
0084-0416,1545-6927,0.1,
0213-2958,1989-4678,,
1133-9527,1988-2394,,
0959-3683,1749-6284,,
1866-7473,1866-7481,,
0018-2176,1553-0639,,
1752-7066,1752-7074,,
0167-3831,1876-0759,,
0014-9527,1570-0690,,
0034-8198,0034-8198,,
0585-492X,1724-1588,,
0026-7910,1080-6598,,
0226-8043,0226-8043,,
0014-0767,1931-0234,,
1502-1866,1741-8720,,
0037-6752,0037-6752,,
1138-6363,1138-6363,,
0035-8126,1864-0737,,
,2724-3346,,
0030-4727,,,Q4
1354-991X,1750-0192,,
2211-8330,2211-8349,,
1078-6279,1934-1539,,
1059-6879,1096-858X,,
0016-111X,2329-7131,,
0034-9593,1944-6446,,
1630-7305,1630-7305,,
0164-0178,1086-3141,,Q4
0035-7995,2165-7599,,
2340-1176,2340-1176,,
1593-2478,2385-2917,,
0190-0013,1086-329X,,
0065-1141,2227-538X,,
0202-2532,2618-6969,,
2035-0031,2035-0031,,
0580-6712,1989-6166,,
2532-9626,2611-2787,,Q4
1972-473X,1973-3232,,
0290-7402,2261-4184,,
2045-5879,2045-5887,,
0184-7678,2054-4715,,
0391-3368,1724-1677,,
0046-1628,,,
1869-3660,2198-0330,,Q4
1741-6124,1749-6268,,
1059-440X,2049-6710,,
0122-8102,2346-1691,,
0276-2854,1874-9275,,
1543-3951,1755-6333,,
0007-7712,0007-7712,,
0033-9423,,,
0962-9696,2397-1290,,Q4
0043-373X,0043-373X,,
,2148-3582,,
1125-3819,1724-0441,,
0007-5108,1944-0928,,
1575-2275,1575-2275,,
1413-9138,2177-5346,,
1133-0406,1988-2823,,
0343-379X,2509-7474,,
0378-8660,1810-536X,,
1697-0101,1697-0101,,
0018-2370,1540-6563,,Q4
0028-6206,0028-6206,,Q4
1443-4318,2203-1871,,
1131-9062,1988-2343,,
0193-5380,1935-0201,,
0021-762X,1783-1504,,
0303-4178,2589-0530,,
1669-726X,1667-9229,,Q4
0929-077X,1570-0577,,
1131-9070,1988-2637,,
0014-195X,0014-195X,,
0095-5809,0095-5809,,
1045-7909,1527-943X,,
2084-140X,2084-140X,,
0040-7518,0040-7518,,Q4
1224-3086,2457-7715,,
1122-5750,,,
0376-8902,2071-7474,,
0039-2618,0039-2618,,
2376-5739,2376-5755,,
0737-0555,2576-649X,,
2277-4521,,,
0300-340X,,,Q4
0882-0945,1527-9472,,
0146-2989,2372-2509,,
2073-0101,2073-0101,,Q4
1696-5868,2341-0906,,
0028-8322,0028-8322,,Q4
2042-7824,2042-7832,,
0001-6829,0001-6829,,Q4
0015-6191,2471-156X,,
0023-8856,2294-4427,,
0027-4801,,,
2161-2196,2161-2188,,
0033-4987,1724-1901,,
0023-0243,2161-0355,,Q4
2037-4488,2385-2895,,Q4
1699-4949,1699-4949,,
1751-2689,1751-2697,,
,2447-5467,,Q4
0006-1999,,,
1539-3402,1543-7787,,Q4
0031-8299,1929-4883,,
0037-3052,1934-421X,,
0006-2014,0006-2014,,
2191-9399,2191-9402,,
1138-9664,1988-3285,,
0137-2904,0137-2904,,Q4
,2014-7023,,
,2386-7620,,
0869-5377,2499-9628,,
0213-9634,2530-6480,,
0091-8083,2158-5806,,
0043-2199,,,
0717-6848,0717-6848,,
1736-8812,2346-5581,,
0723-5186,2365-9920,,Q4
0035-0869,0035-0869,,Q4
0896-5811,1744-1722,,Q4
0455-0463,2459-6329,,
1392-2343,2538-6565,,Q4
0028-3347,,,
1812-6243,1812-6243,,
2254-8319,2254-8319,,
1794-5887,2539-1208,,
1899-3044,1899-3044,,Q4
0101-3335,1984-7726,,
1392-0448,1648-9101,,Q4
1074-164X,2161-4741,,
1123-2560,1123-2560,,
1724-6768,1724-6768,,
2295-3019,2295-3027,,
1778-3887,1778-3887,,
0003-9292,,,
0391-9064,,,
0069-6412,1557-0290,,
0904-6380,2002-3898,,
0586-0296,1847-117X,,
,2042-5937,,
2014-1416,2014-1416,,
1848-1590,1848-7459,,
2596-1802,2596-1810,,
0026-9891,2328-4293,,Q4
1212-0391,2336-436X,,
1808-1967,1808-1967,,Q4
0399-0826,2108-6443,,Q4
1973-5030,1974-4501,,Q4
0120-4661,2357-6448,,Q4
0376-9836,0975-5977,,Q4
1449-9320,2207-2802,,
0331-3689,,,Q4
0342-1201,,,
2083-8530,2300-7605,,
0130-7673,,,
1568-4857,1570-0704,,
2240-7456,2240-7456,,
1592-0291,2283-5482,,
0081-6248,2035-7966,,
1927-9434,1927-9434,,Q4
1936-6280,2155-1162,,
2146-1732,2146-1732,,Q4
1176-306X,2324-3740,,Q4
1176-5119,1179-8912,,
0047-8105,2398-4961,,
1847-9464,1848-6681,,
1781-7838,1783-1792,,
0394-6932,2239-7272,,
1473-3536,1752-2331,,
0175-6206,1865-9403,,Q4
1862-9148,1862-9156,,
0104-0588,2237-2083,,
2177-2851,2177-2851,,Q4
1361-7427,1745-8145,,
0049-2361,,,
1330-3627,1848-9532,,Q4
2077-1282,2077-1290,,
0003-9381,2198-0489,,Q4
2375-9240,2375-9267,,Q4
0103-2178,2238-3824,,
1091-0905,1944-6292,,
2007-1639,2007-1639,,
2240-7251,2240-7251,,
0449-5233,2235-1280,,
2169-0324,2169-0332,,
1127-0195,1972-523X,,Q4
0177-4182,,,
0037-5756,,,
2240-5437,2240-5437,,
1991-640X,2409-4692,,
2300-0783,2300-0783,,
0340-7969,0340-7969,,
0350-7653,0350-7653,,
0006-7237,,,
1885-365X,1885-9542,,Q4
,2035-7362,,
1445-5218,1445-5218,,
1679-9615,2175-5841,,
1548-0631,1548-064X,,Q4
0393-2451,1973-8196,,
2033-4753,2033-5016,,
0890-1686,2327-9672,,Q4
0554-498X,0554-498X,,Q4
0871-4657,1647-8606,,Q4
1980-6493,1980-6493,,
0391-8467,,,
0213-2052,2530-4100,,Q4
1505-9065,2449-8831,,
2254-2930,2254-7673,,
1889-979X,1989-8452,,
2340-9134,2340-8510,,
0009-7527,0009-7527,,
2250-5660,2250-5415,,
2578-5206,2578-5192,,Q4
0930-5874,,,
0984-2292,2101-0137,,Q4
1392-0456,2029-7181,,Q4
1331-7202,1848-9001,,
0075-966X,2101-0234,,
1679-849X,1679-849X,,
0047-4800,1958-5926,,
2108-6559,2108-6559,,
1075-7163,2152-7792,,
2226-6771,2226-6771,,Q4
0030-8803,2327-9753,,Q4
0926-6453,1783-1814,,
1030-7710,1320-6001,,Q4
2362-4752,2362-4752,,Q4
0102-4809,2358-9787,,
0014-2751,0014-2751,,
1139-7489,2530-609X,,
2052-6695,2052-6709,,
0771-6494,1783-158X,,
1330-0474,1330-0474,,Q4
1678-8931,1678-8931,,
0484-8616,1783-175X,,
0035-6220,0035-6220,,
0035-7812,0035-7812,,
2314-2189,2314-2189,,
1990-2670,2224-6606,,
2146-4901,2667-6575,,
0038-271X,1996-8450,,Q4
1591-6693,1591-6693,,
0040-5507,0040-5507,,
0040-750X,2031-8952,,
1015-1818,1015-1818,,Q4
2299-7164,2353-3218,,
1565-6721,2516-4252,,
1016-4987,1865-9438,,
0872-2110,2183-7260,,
1958-5322,1958-5322,,Q4
1885-5687,1988-2416,,
2666-6529,2213-0624,,Q4
0579-4080,2717-6940,,Q4
0025-4878,2330-0485,,
1620-3224,2262-8363,,
1851-7811,1851-7811,,
2221-4135,2221-4135,,Q4
2318-6062,2318-6062,,
1517-2856,2238-8885,,Q4
1657-1959,2346-2116,,Q4
2076-6300,2077-4168,,Q4
1984-3755,2175-1838,,
,2458-9071,,
0081-7090,2392-2435,,
2344-6544,2457-1687,,
1925-0614,1925-0614,,
2255-3576,2255-3576,,
0514-7794,1849-2207,,
2036-5195,2036-5195,,Q4
1984-4921,1984-4921,,
1760-7914,1760-7914,,Q4
0005-0601,,,
2014-8992,2014-8992,,
0323-9519,1314-8516,,
0993-8516,1765-307X,,
1887-5238,1887-5238,,
0010-4051,0010-4051,,Q4
1794-8290,2390-0644,,
1666-9606,1666-9606,,Q4
0101-3130,2237-6461,,
2178-0463,2178-0463,,Q4
2318-1729,2318-1729,,Q4
2471-965X,2471-965X,,Q4
1927-6117,1927-6117,,Q4
1989-3663,1989-3663,,
2251-9130,2251-9149,,Q4
0973-1385,0973-1385,,Q4
0020-9635,0020-9635,,
1415-2525,1982-0836,,
2078-0664,2307-3942,,
2359-6910,2359-6910,,
1989-6425,1989-6425,,
0021-4795,1880-7577,,Q4
0027-514X,,,
1569-3511,1569-3511,,Q4
1669-3299,2314-0208,,Q4
1989-2659,1989-2659,,Q4
2236-7632,2236-7632,,Q4
0124-0579,2145-4531,,Q4
0035-2411,2105-2689,,
2284-0184,2284-0184,,
0036-794X,,,
0037-6736,0037-6736,,
1886-9440,1886-9440,,
2649-664X,2649-6100,,Q4
0340-2541,1438-938X,,Q4
1984-249X,1984-249X,,
0004-4083,,,
,2596-092X,,
0257-750X,0257-750X,,Q4
1582-960X,1582-960X,,
1909-230X,2389-7481,,Q4
2358-9566,2358-9566,,
1637-5823,1637-5823,,Q4
1848-1183,1849-5699,,Q4
2036-1602,2036-1602,,
2007-249X,2448-5934,,
0021-0870,1783-1482,,
1594-1019,1594-1019,,
2468-6859,2408-7408,,Q4
2332-8533,2332-8533,,Q4
1753-5654,1753-5662,,Q4
1824-4920,1824-484X,,
0121-182X,1909-7727,,Q4
2182-9845,2182-9845,,Q4
2255-2677,2255-2677,,Q4
0378-0473,2215-2636,,
0718-0527,0718-0527,,Q4
0035-2624,2271-7005,,Q4
1794-8932,2346-0806,,Q4
2109-9081,2109-9081,,
0039-3258,,,
1214-8407,1804-6843,,
0040-5329,0040-5329,,
1015-8383,,,
1516-5159,2317-8086,,
0042-5079,2035-262X,,Q4
1571-7283,1875-0214,,
0065-1273,0065-1273,,
1998-2054,1998-2054,,
0003-2565,2406-2693,,Q4
1983-201X,0104-236X,,Q4
1578-3138,1578-3138,,Q4
1594-378X,1594-378X,,
1431-5254,,,Q4
0213-3563,2444-7072,,
0392-4432,1724-1650,,Q4
2237-8871,2237-8871,,Q4
1413-053X,2447-4207,,
0010-3713,,,
2340-177X,2531-1360,,
2172-9506,2172-9506,,
1138-1590,2386-8376,,
0393-1560,2612-2391,,
0011-6009,,,
2237-6321,2237-6321,,
0701-1008,0701-1008,,Q4
0014-2239,,,
1210-9029,1210-9029,,
0017-2715,,,
1330-1144,1330-1144,,Q4
0943-9692,0943-9692,,Q4
1657-9089,2665-511X,,Q4
2717-6428,2717-6428,,Q4
1916-8128,1916-8128,,Q4
2281-4841,2281-4841,,
0103-3638,2236-4242,,
0211-2574,2341-1139,,
0937-583X,,,
1820-1768,1820-1768,,
1853-7596,1853-7596,,
1734-1531,2451-0742,,Q4
,2563-660X,,
2358-1840,2358-1840,,Q4
1826-9001,1826-9001,,
0324-833X,2080-2218,,Q4
1230-5502,1230-5502,,Q4
2177-952X,2177-952X,,
2145-7719,2145-7719,,Q4
0104-0529,2317-4307,,
0034-8635,0034-8635,,
1697-3046,1697-3046,,Q4
2386-8643,2386-8643,,
1962-4271,,,
0391-2108,,,
2316-1620,2316-1620,,Q4
2221-3279,2412-4990,,Q4
1731-3317,,,
1853-6530,1853-6530,,Q4
1927-9132,1927-9132,,Q4
0170-6241,,,
1803-9588,1803-9588,,Q4
0068-3175,2537-4044,,
0518-3766,2545-3491,,Q4
1439-5142,1439-9008,,Q4
1728-8835,2304-6244,,Q4
1575-0825,2172-3184,,Q4
2314-2502,2314-2502,,
0214-2597,2340-5384,,Q4
0969-1251,,,Q4
1870-6479,2007-9206,,Q4
1181-6945,1705-6500,,
1973-4832,2283-3137,,Q4
2182-844X,2182-844X,,
0012-6837,0012-6837,,
0328-929X,2422-6483,,
1515-6206,1853-4392,,Q4
1192-1412,1911-4656,,Q4
1673-7318,1673-7423,,
1722-4241,1974-5125,,Q4
1667-7900,2362-5651,,
2171-3669,2171-9705,,Q4
2171-0147,2254-9633,,
0972-9984,0973-7308,,Q4
1122-7893,1122-7893,,
1024-0098,1680-936X,,Q4
2090-0686,2314-6648,,Q4
1607-8047,0023-5776,,Q4
1800-7007,1800-7007,,
0024-3868,,,
1519-4906,1519-4906,,
1257-0273,1768-3084,,
2263-8989,2263-8989,,Q4
2240-7901,2240-7901,,Q4
0033-6041,0033-6041,,
1304-9720,2547-9679,,Q4
1980-3087,2448-2307,,Q4
1989-6042,1989-6042,,
1853-1180,1852-9429,,Q4
2316-8218,2237-0021,,Q4
2318-1001,2318-1001,,Q4
2178-7298,1517-543X,,Q4
